"","P1","P2","P3","P4","P5","P6","P7","P8","P9","Points"
"188","Miguel Cabrera","Evan Gattis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Jayson Werth","Bryce Harper","112.516699999936"
"189","Steven Moya","Miguel Cabrera","Brian McCann","Lonnie Chisenhall","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.516133333264"
"190","Troy Tulowitzki","Steven Moya","Brian McCann","Josh Reddick","Rich Hill","Mark Reynolds","Nolan Arenado","Howie Kendrick","Bryce Harper","112.515766666576"
"191","Troy Tulowitzki","Prince Fielder","Brian McCann","Jason Kipnis","Jacoby Ellsbury","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.514466666576"
"192","Russell Martin","Steven Moya","Miguel Cabrera","Jed Lowrie","Josh Reddick","Carlos Correa","Rich Hill","Nolan Arenado","Bryce Harper","112.513866666624"
"193","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Lonnie Chisenhall","Jed Lowrie","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.509699999952"
"194","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Lonnie Chisenhall","Rich Hill","Nolan Arenado","Wilson Ramos","Bryce Harper","112.50873333328"
"195","Steven Moya","Miguel Cabrera","Starlin Castro","Brian McCann","Jacoby Ellsbury","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.507499999936"
"196","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Carlos Beltran","Starlin Castro","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.50023333328"
"197","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Starlin Castro","Brian McCann","Josh Reddick","Rich Hill","Carlos Gonzalez","Nolan Arenado","112.500200000016"
"198","Troy Tulowitzki","Miguel Cabrera","Jason Kipnis","Jacoby Ellsbury","Josh Reddick","Rich Hill","Nolan Arenado","Salvador Perez","Bryce Harper","112.499433333296"
"199","Russell Martin","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jurickson Profar","Rich Hill","Nolan Arenado","Nelson Cruz","Bryce Harper","112.49873333328"
"200","Russell Martin","Troy Tulowitzki","Mark Teixeira","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Nelson Cruz","Bryce Harper","112.498166666592"
