,P1,P2,P3,P4,P5,P6,P7,P8,P9,Points,salary,variance,stdev
181,Troy Tulowitzki,Steven Moya,Mark Teixeira,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.522433333,34200.0,550.39103711,23.460414257
182,Miguel Cabrera,Nomar Mazara,Evan Gattis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.5218,34800.0,450.931624458,21.2351506813
183,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jurickson Profar,Brian McCann,Rich Hill,Nolan Arenado,Jayson Werth,Bryce Harper,112.5208,35000.0,578.444016198,24.0508631071
184,Troy Tulowitzki,Mark Teixeira,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Jayson Werth,Bryce Harper,112.520233333,34800.0,533.762908882,23.103309479
185,Miguel Cabrera,Nomar Mazara,Brian McCann,Lonnie Chisenhall,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.519033333,35000.0,556.7222021,23.594961371
186,Steven Moya,Miguel Cabrera,Evan Gattis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.5189,34300.0,498.293441811,22.3224873572
187,Miguel Cabrera,Brian McCann,Jason Kipnis,Josh Reddick,Trevor Story,Carlos Gonzalez,Nolan Arenado,Bryce Harper,Lucas Giolito,112.518833333,34900.0,462.074511843,21.4959184927
188,Miguel Cabrera,Evan Gattis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Jayson Werth,Bryce Harper,112.5167,34900.0,470.822767146,21.6984508006
189,Steven Moya,Miguel Cabrera,Brian McCann,Lonnie Chisenhall,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.516133333,34500.0,604.681499768,24.5902724623
190,Troy Tulowitzki,Steven Moya,Brian McCann,Josh Reddick,Rich Hill,Mark Reynolds,Nolan Arenado,Howie Kendrick,Bryce Harper,112.515766667,34600.0,705.798954974,26.5668770271
191,Troy Tulowitzki,Prince Fielder,Brian McCann,Jason Kipnis,Jacoby Ellsbury,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.514466667,34800.0,488.683013277,22.106175908
192,Russell Martin,Steven Moya,Miguel Cabrera,Jed Lowrie,Josh Reddick,Carlos Correa,Rich Hill,Nolan Arenado,Bryce Harper,112.513866667,34800.0,470.086268,21.6814729205
193,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Lonnie Chisenhall,Jed Lowrie,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.5097,34700.0,454.139945061,21.3105594732
194,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Lonnie Chisenhall,Rich Hill,Nolan Arenado,Wilson Ramos,Bryce Harper,112.508733333,34700.0,537.685593815,23.1880485124
195,Steven Moya,Miguel Cabrera,Starlin Castro,Brian McCann,Jacoby Ellsbury,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.5075,34800.0,563.582236103,23.739887028
196,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Carlos Beltran,Starlin Castro,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.500233333,35000.0,464.033755461,21.5414427432
197,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Starlin Castro,Brian McCann,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,112.5002,34700.0,533.050585178,23.0878882789
198,Troy Tulowitzki,Miguel Cabrera,Jason Kipnis,Jacoby Ellsbury,Josh Reddick,Rich Hill,Nolan Arenado,Salvador Perez,Bryce Harper,112.499433333,35000.0,435.773338976,20.8751847651
199,Russell Martin,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jurickson Profar,Rich Hill,Nolan Arenado,Nelson Cruz,Bryce Harper,112.498733333,35000.0,581.571092947,24.1157851406
200,Russell Martin,Troy Tulowitzki,Mark Teixeira,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Nelson Cruz,Bryce Harper,112.498166667,34800.0,485.664908721,22.03780635
