,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Points,salary,variance,stdev
509,Miguel Cabrera,Stephen Vogt,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Daniel Murphy,Bryce Harper,109.220916667,49400.0,369.398955144,19.2197542946
510,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Rougned Odor,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.22025,49300.0,355.968695488,18.867132678
511,Miguel Cabrera,Brian McCann,Jacoby Ellsbury,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.219916667,48900.0,315.467092843,17.7613933249
512,Miguel Cabrera,Miguel Sano,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Salvador Perez,Daniel Murphy,Bryce Harper,109.21925,49900.0,387.223574639,19.6779972212
513,Steven Moya,Edwin Encarnacion,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.218916667,49500.0,327.551517518,18.0983843897
514,Russell Martin,Miguel Cabrera,Ian Desmond,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.21825,49600.0,277.004547839,16.6434536031
515,Troy Tulowitzki,Edwin Encarnacion,Brian McCann,George Springer,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.217583333,49400.0,256.522636536,16.0163240644
516,Russell Martin,Edwin Encarnacion,Ian Kinsler,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.21725,49900.0,295.660624532,17.1947848062
517,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Miguel Sano,Jason Kipnis,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.21625,48500.0,281.259509281,16.7707933408
518,Steven Moya,Ian Kinsler,Miguel Cabrera,Victor Martinez,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.215916667,49600.0,361.51682093,19.0135956865
519,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Jose Altuve,George Springer,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.21525,49800.0,170.240893609,13.0476393884
520,Troy Tulowitzki,Ian Kinsler,Miguel Cabrera,Shin-Soo Choo,Brian McCann,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.214916667,49800.0,287.870948361,16.9667601021
521,Miguel Cabrera,Brian McCann,Lonnie Chisenhall,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.21425,48300.0,257.586699134,16.0495077536
522,Miguel Cabrera,Victor Martinez,Jason Kipnis,Rich Hill,Peter Bourjos,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.213916667,49800.0,275.305449162,16.5923310346
523,Miguel Cabrera,Evan Gattis,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.212916667,48100.0,205.782283885,14.3451135891
524,Steven Moya,Edwin Encarnacion,Victor Martinez,Rougned Odor,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.211916667,50000.0,286.407932701,16.9235910108
525,Carlos Santana,Josh Reddick,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.211583333,49700.0,335.208240195,18.3086930226
526,Edwin Encarnacion,Victor Martinez,Jason Kipnis,Josh Reddick,Carlos Correa,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.21125,49700.0,179.726835056,13.4062237433
527,Victor Martinez,Jason Kipnis,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Jayson Werth,Bryce Harper,109.210916667,49500.0,331.411097858,18.2046998838
528,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Robinson Cano,Bryce Harper,109.210583333,50000.0,400.930658601,20.0232529475
529,Carlos Santana,Brian McCann,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.21025,50000.0,322.679863189,17.9632921033
530,Troy Tulowitzki,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Mark Reynolds,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.209583333,47900.0,302.961761355,17.4057967745
531,Troy Tulowitzki,Miguel Cabrera,Josh Reddick,Rich Hill,Nick Hundley,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.20825,48200.0,320.716103447,17.9085483344
532,Prince Fielder,Miguel Sano,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.207916667,48800.0,289.67586968,17.0198669113
533,Ian Kinsler,Miguel Cabrera,Brian McCann,Rich Hill,Cody Asche,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.20725,49900.0,291.876358176,17.0843893124
534,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Khris Davis,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.206916667,48500.0,344.154360777,18.5513978119
535,Carlos Beltran,Brian McCann,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.205916667,49900.0,360.989161835,18.999714783
536,Rougned Odor,Carlos Santana,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.205583333,49500.0,313.360908604,17.7020029546
537,Miguel Cabrera,Rougned Odor,Francisco Lindor,Brian McCann,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.204583333,48800.0,266.917106058,16.337597928
538,Ian Desmond,Carlos Santana,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.20425,49900.0,309.209270413,17.5843473127
539,Jason Kipnis,Stephen Vogt,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.20325,48500.0,298.51129371,17.2774793795
540,Miguel Sano,Jurickson Profar,Brian McCann,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.202916667,49700.0,318.187978294,17.8378243711
541,Miguel Cabrera,Victor Martinez,Jed Lowrie,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.200916667,49300.0,310.473595188,17.6202609285
542,Carlos Santana,Brian McCann,Jose Altuve,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.200583333,50000.0,139.642359643,11.8170368385
543,Miguel Cabrera,Victor Martinez,Brett Gardner,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.199916667,49400.0,277.994375649,16.6731633366
544,Carlos Santana,Jason Kipnis,Rich Hill,Trevor Story,Charlie Blackmon,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.19925,50000.0,333.942856022,18.2741034259
545,Miguel Cabrera,Brian McCann,Josh Reddick,Carlos Correa,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.198916667,48700.0,205.810858009,14.3461095078
546,Steven Moya,Miguel Cabrera,Brian McCann,Jose Altuve,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.198583333,48600.0,223.643964912,14.9547305195
547,Russell Martin,Edwin Encarnacion,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.19725,49200.0,317.013066923,17.8048607668
548,Miguel Cabrera,Victor Martinez,Francisco Lindor,Jason Kipnis,George Springer,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.196916667,49600.0,198.687711993,14.0956628788
549,Victor Martinez,Prince Fielder,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.195916667,48900.0,264.000910493,16.2481048277
550,Miguel Cabrera,Rich Hill,Cody Asche,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.19525,49300.0,316.110519932,17.7794971788
551,Miguel Cabrera,Francisco Lindor,Brian McCann,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.194916667,49500.0,273.812796722,16.5472897093
552,Russell Martin,Shin-Soo Choo,Jason Kipnis,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.194583333,49400.0,297.240385785,17.240660828
553,Miguel Cabrera,Miguel Sano,Starlin Castro,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.19425,48700.0,302.565720097,17.3944163483
554,Troy Tulowitzki,Miguel Cabrera,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Wilson Ramos,Bryce Harper,109.193583333,48400.0,338.913474584,18.4096027818
555,Miguel Cabrera,Nomar Mazara,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Wilson Ramos,Bryce Harper,109.19225,49000.0,369.162073117,19.2135908439
556,Miguel Cabrera,Victor Martinez,Rougned Odor,Josh Reddick,Carlos Correa,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.191916667,49200.0,213.979030388,14.6280220942
557,Troy Tulowitzki,Victor Martinez,Carlos Santana,Jason Kipnis,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.19025,48900.0,291.838615338,17.0832846765
558,Justin Upton,Edwin Encarnacion,Victor Martinez,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.189916667,50000.0,295.287184718,17.183922274
559,Russell Martin,Carlos Santana,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.189583333,48800.0,283.487369291,16.8370831586
560,Victor Martinez,Nomar Mazara,Carlos Santana,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.188916667,49500.0,285.388958198,16.8934590359
561,Edwin Encarnacion,Rougned Odor,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Jayson Werth,Bryce Harper,109.184916667,49700.0,309.949877305,17.6053934152
562,Ian Kinsler,Brian McCann,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.183916667,50000.0,334.326202204,18.2845891998
563,Jason Kipnis,George Springer,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.183583333,48900.0,240.482253154,15.5074902274
564,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Carlos Beltran,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.18325,49400.0,311.395892465,17.6464130198
565,Russell Martin,Miguel Cabrera,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.182583333,49200.0,302.222956953,17.3845608789
566,Miguel Cabrera,Victor Martinez,Josh Reddick,Carlos Correa,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.18225,49900.0,210.862786852,14.5211152069
567,Troy Tulowitzki,Miguel Cabrera,Miguel Sano,Jose Altuve,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.181916667,49800.0,238.526391187,15.4442996341
568,Edwin Encarnacion,Miguel Sano,Jason Kipnis,Evan Gattis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.179916667,49900.0,223.109167646,14.936839279
569,Miguel Cabrera,Rougned Odor,Khris Davis,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.179583333,49300.0,312.846505492,17.6874674697
570,Shin-Soo Choo,Carlos Santana,Jason Kipnis,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.17925,50000.0,297.534609171,17.2491915512
571,Russell Martin,Miguel Cabrera,Rougned Odor,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.177916667,48700.0,309.383978805,17.5893143358
572,Justin Upton,Miguel Cabrera,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.177583333,49000.0,330.871159599,18.1898641996
573,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Miguel Sano,Jed Lowrie,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.17725,49500.0,327.991707347,18.1105413322
574,Miguel Cabrera,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Jayson Werth,Bryce Harper,109.176916667,48700.0,391.527637327,19.7870573185
575,Troy Tulowitzki,Miguel Cabrera,Brian Dozier,Brian McCann,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.176583333,48700.0,296.620131977,17.2226633242
576,Troy Tulowitzki,Edwin Encarnacion,Brian McCann,Jason Kipnis,George Springer,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.175916667,48900.0,221.354413805,14.8779841983
577,Miguel Cabrera,Brian Dozier,Nomar Mazara,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.17525,49300.0,276.025285996,16.6140087275
578,Miguel Cabrera,Jose Altuve,Josh Reddick,Rich Hill,Cameron Rupp,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.173916667,49600.0,183.918414928,13.5616523672
579,Russell Martin,Miguel Cabrera,Jose Altuve,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.172916667,49200.0,138.79723867,11.7812239886
580,Miguel Cabrera,Brian McCann,Jason Kipnis,Lonnie Chisenhall,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.172583333,47800.0,261.592680195,16.1738270114
581,Rougned Odor,Carlos Santana,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.171916667,49100.0,299.655478261,17.3105597327
582,Miguel Cabrera,Jason Kipnis,Evan Gattis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.17125,47600.0,197.230530411,14.0438787524
583,Justin Upton,Miguel Cabrera,Victor Martinez,Rougned Odor,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.170583333,49500.0,329.727725054,18.1584064569
584,Miguel Cabrera,Brian Dozier,Stephen Vogt,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.17025,49300.0,275.424309137,16.5959124226
585,Miguel Cabrera,Khris Davis,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.169916667,50000.0,338.641198381,18.4022063455
586,Miguel Cabrera,Jed Lowrie,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.169583333,47900.0,296.704999768,17.2251269884
587,Carlos Beltran,Carlos Santana,Brian McCann,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.168583333,49600.0,306.048014195,17.4942280251
588,Russell Martin,Miguel Cabrera,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Robinson Cano,Bryce Harper,109.16825,49400.0,375.254931758,19.3714979224
589,Troy Tulowitzki,Miguel Cabrera,Jason Kipnis,Josh Reddick,Rich Hill,Nick Hundley,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.166583333,47700.0,292.40772761,17.0999335557
590,Jose Altuve,Josh Reddick,Rich Hill,Mark Reynolds,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.165583333,49700.0,269.663727944,16.4214411044
591,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Jason Kipnis,Khris Davis,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.16525,48000.0,316.052990108,17.7778792354
592,Brian McCann,Jose Altuve,Khris Davis,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.16425,50000.0,261.393973581,16.1676829998
593,Miguel Cabrera,Miguel Sano,Francisco Lindor,Jason Kipnis,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.163583333,49600.0,277.865254653,16.6692907663
594,Miguel Cabrera,Carlos Beltran,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.162916667,49700.0,323.382892456,17.9828499537
595,Steven Moya,Victor Martinez,Rich Hill,Mark Reynolds,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.162583333,49400.0,334.382437847,18.2861269231
596,Carlos Santana,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Wilson Ramos,Bryce Harper,109.16225,49800.0,377.9126564,19.4399757304
597,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Jose Altuve,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.161916667,49800.0,273.705220463,16.5440388196
598,Troy Tulowitzki,Shin-Soo Choo,Brian McCann,Rich Hill,Mark Reynolds,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.161583333,49600.0,341.254891643,18.4730856016
599,Troy Tulowitzki,Miguel Cabrera,Shin-Soo Choo,Jason Kipnis,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.16125,48700.0,279.573755864,16.7204592002
600,Miguel Cabrera,Jurickson Profar,Brian McCann,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.160583333,48400.0,187.278586875,13.6849766852
601,Miguel Cabrera,Miguel Sano,Jurickson Profar,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.159916667,49500.0,286.90572003,16.9382915322
602,Miguel Cabrera,Jason Kipnis,Stephen Vogt,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.158916667,48600.0,283.509809882,16.8377495492
603,Miguel Cabrera,Victor Martinez,Shin-Soo Choo,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Howie Kendrick,Drew Pomeranz,Bryce Harper,109.15825,49400.0,328.713696956,18.1304632306
604,Edwin Encarnacion,Stephen Vogt,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.157916667,50000.0,334.463822411,18.2883520966
605,Edwin Encarnacion,Brian McCann,Jacoby Ellsbury,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.156916667,49500.0,292.884556731,17.1138703025
606,Troy Tulowitzki,Miguel Cabrera,Rougned Odor,Brian McCann,George Springer,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.156583333,48400.0,228.118968367,15.1036077931
607,Troy Tulowitzki,Miguel Cabrera,Rougned Odor,Miguel Sano,Rich Hill,Nick Hundley,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.155916667,49500.0,325.041489864,18.0289070624
608,Miguel Cabrera,Victor Martinez,Jacoby Ellsbury,Jose Altuve,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.154583333,49900.0,213.217907848,14.6019830108
609,Victor Martinez,Prince Fielder,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.15425,48400.0,261.740783296,16.178404844
610,Brian McCann,Rich Hill,Mark Reynolds,Cody Asche,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.153916667,49700.0,337.47694234,18.3705455101
611,Miguel Cabrera,Jason Kipnis,Rich Hill,Cody Asche,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.153583333,48800.0,272.638089211,16.5117560911
612,Troy Tulowitzki,Brian McCann,Josh Reddick,Rich Hill,Mark Reynolds,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.15225,48800.0,336.024267724,18.3309647243
613,Nomar Mazara,Brian McCann,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.150916667,49400.0,345.774157033,18.5950035502
614,Prince Fielder,Miguel Sano,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.150583333,49700.0,326.265709338,18.0628267261
615,Ian Kinsler,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.15025,49600.0,331.488486877,18.2068252828
616,Victor Martinez,Jurickson Profar,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.14925,49300.0,289.451855119,17.0132846658
617,Miguel Cabrera,Shin-Soo Choo,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Neil Walker,Bryce Harper,109.148583333,50000.0,310.045514517,17.6081093396
618,Russell Martin,Carlos Santana,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.147916667,48300.0,284.657976782,16.8718101217
619,Miguel Cabrera,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Salvador Perez,Bryce Harper,109.147583333,48200.0,325.152502549,18.0319855409
620,Carlos Santana,Brian McCann,Jose Altuve,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.14725,50000.0,236.697257698,15.3849685634
621,Troy Tulowitzki,Miguel Cabrera,Brian McCann,George Springer,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.146916667,49100.0,233.811863611,15.290907874
622,Miguel Cabrera,Francisco Lindor,Brian McCann,Jose Altuve,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.14625,49300.0,193.798358208,13.9211478768
623,Stephen Vogt,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.145916667,49400.0,359.579716753,18.9625872906
624,Troy Tulowitzki,Victor Martinez,Rougned Odor,Josh Reddick,Rich Hill,Mark Reynolds,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.14525,49300.0,307.84330547,17.5454639571
625,Victor Martinez,Rougned Odor,Nomar Mazara,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.143916667,49900.0,315.76501255,17.769778067
626,Miguel Cabrera,Victor Martinez,Francisco Lindor,Jason Kipnis,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.143583333,49600.0,318.454819508,17.8453024493
627,Troy Tulowitzki,Edwin Encarnacion,Ian Kinsler,Brian McCann,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.142583333,49600.0,294.521079493,17.1616164592
628,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Carlos Beltran,Jason Kipnis,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.141583333,48900.0,283.635912482,16.8414937723
629,Miguel Cabrera,Victor Martinez,Coco Crisp,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.140916667,50000.0,285.654306514,16.9013107928
630,Miguel Cabrera,Victor Martinez,Starlin Castro,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.140583333,48300.0,285.069863233,16.8840120597
631,Edwin Encarnacion,Miguel Sano,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Howie Kendrick,Drew Pomeranz,Bryce Harper,109.139583333,49600.0,321.505320252,17.9305694347
