,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Points,salary,variance,stdev
105,Miguel Cabrera,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Wilson Ramos,Bryce Harper,109.732916667,49300.0,368.042252065,19.1844273322
106,Brian McCann,Jason Kipnis,Rich Hill,Mark Reynolds,Trevor Story,Charlie Blackmon,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.728583333,49900.0,354.429313961,18.8262931551
107,Edwin Encarnacion,Josh Reddick,Rich Hill,Nick Hundley,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.71925,49800.0,324.873788586,18.0242555626
108,Russell Martin,Miguel Cabrera,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.718583333,47800.0,257.390960243,16.043408623
109,Miguel Cabrera,Brian McCann,Jose Altuve,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.717916667,49500.0,244.640098667,15.6409749909
110,Russell Martin,Miguel Cabrera,Rougned Odor,Miguel Sano,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.707916667,49600.0,304.050962355,17.4370571587
111,Edwin Encarnacion,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Wilson Ramos,Bryce Harper,109.704583333,50000.0,404.983132492,20.1241927165
112,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.703583333,49300.0,325.507500446,18.0418264166
113,Miguel Cabrera,Victor Martinez,Nomar Mazara,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.70225,49900.0,321.058945483,17.9181177997
114,Rougned Odor,Brian McCann,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.70125,49000.0,322.272247873,17.9519427325
115,Miguel Cabrera,Carlos Beltran,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.697583333,48600.0,282.706082862,16.8138657917
116,Victor Martinez,Jason Kipnis,George Springer,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.693583333,49800.0,207.648981184,14.4100305754
117,Brian McCann,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.691583333,49700.0,368.578910173,19.1984090532
118,Carlos Santana,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.688916667,49500.0,312.164304158,17.6681720661
119,Miguel Cabrera,Victor Martinez,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Jayson Werth,Bryce Harper,109.686916667,49600.0,339.288076696,18.4197740674
120,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Josh Reddick,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.685583333,48000.0,327.877132656,18.1073778515
121,Miguel Cabrera,Nomar Mazara,Brian McCann,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.68425,48600.0,284.375072325,16.8634240985
122,Victor Martinez,Rougned Odor,Carlos Santana,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.681916667,50000.0,270.20641146,16.4379564259
123,Miguel Cabrera,Victor Martinez,Jed Lowrie,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.679583333,48800.0,305.835608148,17.488156225
124,Miguel Cabrera,Stephen Vogt,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.67925,48600.0,276.078792054,16.6156189188
125,Edwin Encarnacion,Jason Kipnis,Josh Reddick,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.677583333,49300.0,289.060844538,17.0017894511
126,Edwin Encarnacion,Brian McCann,Jason Kipnis,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.67625,49600.0,294.604929144,17.1640592269
127,Ian Kinsler,Miguel Cabrera,Brian McCann,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.671583333,49600.0,206.344902046,14.3647103015
128,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Shin-Soo Choo,Jason Kipnis,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.67125,49600.0,300.193995043,17.3261073252
129,Russell Martin,Miguel Cabrera,Shin-Soo Choo,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.670583333,49500.0,264.357875549,16.2590859383
130,Edwin Encarnacion,Rougned Odor,Brian McCann,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.667583333,50000.0,208.214852363,14.4296518448
131,Miguel Cabrera,Victor Martinez,Jason Kipnis,Rich Hill,Cody Asche,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.663583333,49700.0,294.572016529,17.1631004346
132,Russell Martin,Miguel Cabrera,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.66125,48700.0,287.627130722,16.959573424
133,Miguel Sano,Jason Kipnis,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.66025,49800.0,339.708706061,18.4311884061
134,Miguel Cabrera,George Springer,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.659583333,49000.0,241.293208651,15.5336154404
135,Miguel Cabrera,Rougned Odor,Josh Reddick,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.65825,48800.0,298.436108093,17.2753034154
136,Miguel Cabrera,Rougned Odor,Brian McCann,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.656916667,49100.0,306.715082995,17.5132830445
137,Shin-Soo Choo,Carlos Santana,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.656583333,49800.0,295.625460766,17.1937622633
