name,pos,mean,cost,team
Seth Smith,OF,7.8043,3800.0,SEA
Salvador Perez,C,6.8646,3200.0,KCR
Ketel Marte,SS,4.9185,2300.0,SEA
Nelson Cruz,OF,8.92023333333,3500.0,SEA
Kyle Seager,3B,7.82733333333,3500.0,SEA
Alcides Escobar,SS,4.4844,2100.0,KCR
Brett Eibner,OF,5.77483333333,2000.0,KCR
Eric Hosmer,1B,7.2656,3400.0,KCR
Chris Iannetta,C,6.1543,2600.0,SEA
Alex Gordon,OF,7.43723333333,3300.0,KCR
Cheslor Cuthbert,3B,6.44586666667,2400.0,KCR
Jarrod Dyson,OF,4.92706666667,2600.0,KCR
Whit Merrifield,2B,5.89366666667,2700.0,KCR
Leonys Martin,OF,6.9935,3400.0,SEA
Hisashi Iwakuma,P,31.391,8500.0,SEA
Yordano Ventura,P,30.2896666667,7700.0,KCR
Chris Carter,1B,6.5871,3500.0,MIL
Ramon Flores,OF,4.71703333333,2000.0,MIL
Jhonny Peralta,3B,7.1437,2900.0,STL
Kolten Wong,OF,7.7319,2500.0,STL
Jonathan Lucroy,C,5.7804,3300.0,MIL
Ryan Braun,OF,6.90323333333,3600.0,MIL
Matt Holliday,OF,8.66453333333,3400.0,STL
Stephen Piscotty,OF,7.5908,3700.0,STL
Randal Grichuk,OF,6.76093333333,2900.0,STL
Hernan Perez,3B,4.24143333333,2600.0,MIL
Aledmys Diaz,SS,7.4772,3800.0,STL
Kirk Nieuwenhuis,OF,5.35716666667,2600.0,MIL
Matt Adams,1B,8.84426666667,3300.0,STL
Scooter Gennett,2B,5.17656666667,3400.0,MIL
Jonathan Villar,SS,6.22026666667,3200.0,MIL
Yadier Molina,C,5.91873333333,2800.0,STL
Michael Wacha,P,38.659,7500.0,STL
Jimmy Nelson,P,29.0486666667,6900.0,MIL
Logan Morrison,1B,8.91813333333,3800.0,TBR
Logan Forsythe,2B,8.80803333333,3500.0,TBR
Evan Longoria,3B,9.97786666667,3900.0,TBR
Corey Dickerson,OF,8.28763333333,3000.0,TBR
Curt Casali,C,6.48136666667,2500.0,TBR
Brad Miller,SS,9.11053333333,4100.0,TBR
Steven Souza Jr.,OF,9.0107,2400.0,TBR
Travis Shaw,3B,5.4783,3200.0,BOS
David Ortiz,1B,8.5577,4000.0,BOS
Oswaldo Arcia,OF,8.51726666667,3000.0,TBR
Jackie Bradley Jr.,OF,6.07716666667,4000.0,BOS
Sandy Leon,C,4.50213333333,2600.0,BOS
Dustin Pedroia,2B,7.3662,3400.0,BOS
Mookie Betts,OF,8.27523333333,4100.0,BOS
Hanley Ramirez,1B,7.69933333333,3000.0,BOS
Brock Holt,OF,5.22413333333,2800.0,BOS
Brandon Guyer,OF,7.52123333333,3200.0,TBR
Xander Bogaerts,SS,7.1965,3500.0,BOS
Chris Archer,P,36.4913333333,9100.0,TBR
Sean O'Sullivan,P,23.6176666667,4900.0,BOS
Anthony Rendon,3B,5.65593333333,2200.0,WAS
Daniel Murphy,2B,6.33836666667,3200.0,WAS
James Loney,1B,4.637,2600.0,NYM
