name,pos,mean,cost,team
Adam Morgan,P,28.5046666667,5600.0,PHI
Trayce Thompson,OF,5.90566666667,3100.0,LAD
Yasmani Grandal,C,5.45833333333,2500.0,LAD
Matt Kemp,OF,6.3622,3400.0,SDP
Melvin Upton Jr.,OF,5.53396666667,3100.0,SDP
Scott Van Slyke,OF,5.8827,2100.0,LAD
Howie Kendrick,2B,5.78306666667,2100.0,LAD
Wil Myers,1B,6.86513333333,3700.0,SDP
Justin Turner,3B,6.43346666667,2800.0,LAD
Alexei Ramirez,SS,3.95286666667,2200.0,SDP
Adrian Gonzalez,1B,6.55646666667,2500.0,LAD
Corey Seager,SS,6.1319,3000.0,LAD
Alex Dickerson,OF,5.25876666667,2600.0,SDP
Yangervis Solarte,3B,5.61203333333,3200.0,SDP
Ryan Schimpf,3B,5.29936666667,2200.0,SDP
Derek Norris,C,5.59223333333,3400.0,SDP
Yasiel Puig,OF,6.7819,2600.0,LAD
Drew Pomeranz,P,39.825,10400.0,SDP
Hyun-Jin Ryu,P,33.587,8700.0,LAD
Nelson Cruz,OF,8.5039,3100.0,SEA
Robinson Cano,2B,7.22406666667,4100.0,SEA
Alcides Escobar,SS,4.20943333333,2300.0,KCR
Dae-Ho Lee,1B,6.9044,2300.0,SEA
Chris Iannetta,C,5.6267,2800.0,SEA
Paulo Orlando,OF,4.9066,2600.0,KCR
Salvador Perez,C,6.44686666667,2600.0,KCR
Franklin Gutierrez,OF,7.01663333333,3300.0,SEA
Kyle Seager,3B,6.64403333333,3200.0,SEA
Kendrys Morales,1B,6.18883333333,2900.0,KCR
Shawn O'Malley,OF,3.97823333333,2200.0,SEA
Eric Hosmer,1B,6.3343,3300.0,KCR
Ketel Marte,SS,4.00013333333,2100.0,SEA
Alex Gordon,OF,6.95466666667,2800.0,KCR
Cheslor Cuthbert,3B,5.66553333333,2500.0,KCR
Whit Merrifield,2B,5.38013333333,2700.0,KCR
Danny Duffy,P,36.1313333333,8800.0,KCR
James Paxton,P,33.3083333333,7900.0,SEA
Anthony Rendon,3B,6.34943333333,2200.0,WAS
Daniel Murphy,2B,7.30986666667,3800.0,WAS
James Loney,1B,5.34086666667,2700.0,NYM
Curtis Granderson,OF,6.57516666667,3600.0,NYM
Ben Revere,OF,5.46803333333,3400.0,WAS
Brandon Nimmo,OF,4.60763333333,2200.0,NYM
Asdrubal Cabrera,SS,5.28143333333,2600.0,NYM
Yoenis Cespedes,OF,6.70226666667,4000.0,NYM
Danny Espinosa,SS,5.73623333333,2800.0,WAS
Travis d'Arnaud,C,5.61633333333,2500.0,NYM
Neil Walker,2B,6.10996666667,3600.0,NYM
Wilson Ramos,C,7.5638,3000.0,WAS
Clint Robinson,1B,6.27966666667,2000.0,WAS
Jayson Werth,OF,7.7576,2800.0,WAS
Jose Reyes,3B,5.45916666667,3000.0,NYM
Bryce Harper,OF,11.5894333333,3900.0,WAS
Lucas Giolito,P,34.542,7200.0,WAS
Bartolo Colon,P,25.8056666667,7200.0,NYM
